id,projection_density,projection_intensity,experiment_id,structure_id,volume
633910317,0.369275149579306,2317.9576278972895,146858006,1002,2.30540656395
633909357,4.12331250301828e-06,41.8245063365943,146858006,63,0.144032805
633910180,0.0128374695635431,508.762709763196,146858006,895,1.8877424048
633909650,0.000197289114061226,167.747615980891,146858006,338,0.02283939
633909678,2.66482202580188e-05,209.261533688809,146858006,362,1.5251874848
633910382,0.000383419090991341,490.998542640381,146858006,1077,0.16683471
633909519,0.000499255281717259,57.11887082813729,146858006,223,0.31414194
633909907,7.6124404564440794e-06,425.36261940002504,146858006,599,0.2751509152
633909705,0.0008460777829954531,366.568180701782,146858006,390,0.051757965
633910340,7.89335513949973e-05,137.28057226031402,146858006,1025,5.3837524608
633909353,0.000132037300711148,174.363404896057,146858006,58,0.047802195
633909967,4.31536424959993e-06,184.158875567435,146858006,651,0.9358328895999999
633909369,0.0663949689422085,287.376106759251,146858006,75,0.01262583
633909459,0.000107724159261103,478.145769498247,146858006,159,5.3699289727999995
633910285,0.00186404260096038,472.43600010576205,146858006,972,2.6574638048
633909583,0.0,0.0,146858006,280,0.017161515
633909588,7.85504444356867e-07,92.2000012522863,146858006,287,0.00855099
633909978,0.000247975436152875,206.840858729031,146858006,661,1.0108800352
633909665,0.0,0.0,146858006,350,0.029474235
633910156,3.22195091023997e-05,310.09929466253,146858006,859,0.03076857
633910296,8.63765084892962e-05,247.461726881525,146858006,982,0.0680022
633910493,0.0,0.0,146858006,549009219,0.01533798
633910350,0.00726122869593829,451.48688180393,146858006,1037,1.1954606048
633909324,0.0601836085939784,356.366826779241,146858006,27,0.07543305
633910218,0.00631205498478751,693.9814381034649,146858006,931,1.0639631856
633909478,0.000423480309889732,400.83664781157603,146858006,181,0.46740927520000003
633909687,0.0006771753957604139,365.139117190506,146858006,369,4.1558319236
633910371,0.0609319183055313,871.50579473812,146858006,1061,0.159675075
633910318,0.0,0.0,146858006,1004,0.2150117648
633909997,0.0009126371089384991,408.201642862161,146858006,677,2.590389851
633909452,0.00626756268132505,430.07086836907996,146858006,155,1.1206735904
633910492,0.0,0.0,146858006,607344830,0.02396394
633909759,1.24061285136824e-06,45.635900022905396,146858006,445,1.0984979152
633910279,1.1581581366924001e-05,109.034041441087,146858006,968,1.6748055743999999
633909399,0.00113544174676194,432.578771287408,146858006,111,2.6841751846
633909486,0.000237756979628384,366.180889025895,146858006,189,0.099990135
633909699,0.000179763388106049,457.04276083075797,146858006,382,11.236318105599999
633909320,3.0851724899266996e-05,500.413556963419,146858006,23,0.5450429152
633910462,0.0119073392452105,1222.11588161554,146858006,262,1.5957143999999999
