Points
3.7
4.0
1.7
3.0
2.3
2.7
3.0
3.0
3.7
3.0
3.7
4.0
3.7
3.0
4.0
2.7
2.7
4.0
2.7
1.7
2.7
2.0
3.7
3.7
3.3
2.0
2.3
3.3
4.0
2.7
3.3
4.0
2.3
3.0
4.0
1.7
3.0
3.7
2.3
3.7
3.7
3.3
3.0
3.7
4.0
3.7
1.0
3.0
2.3
0.0
3.7
1.7
2.3
3.7
2.7
2.3
4.0
2.0
2.0
4.0
3.3
2.3
3.7
2.7
3.7
3.0
3.7
3.0
3.7
2.3
3.7
3.0
1.0
4.0
3.0
4.0
4.0
3.0
3.7
3.7
4.0
1.0
3.3
4.0
2.7
1.7
4.0
3.7
2.0
2.3
2.3
2.7
3.7
2.7
1.7
2.0
3.3
4.0
4.0
4.0
